ropa;baryłka
benzyna;galon
złoto;uncja
srebro;uncja
pallad;uncja
platyna;uncja
miedź;tona
nikiel;tona
aluminium;tona
ołów;tona
cynk;tona
piasek;tona
bawełna;funt
cukier;funt
kakao;tona
kawa;funt
AbalonePearl;karat
Chiastolite;karat
KashmirSapphire;karat
Rosaline;karat
Achroite;karat
Chloromelanite;karat
KeshiPearl;karat
RoseBeryl;karat
AdelaideRuby;karat
ChromeChalcedony;karat
RoseGold;karat
AfricanEmerald;karat
ChromeDiopside;karat
KimberlyEmerald;karat
RoseKunzite;karat
AfricanJade;karat
ChromeTourmaline;karat
KingmanTurquoise;karat
RoseQuartz;karat
Agate;karat
Kinradite;karat
Rosinca;karat
AgateGeode;karat
Chrysolite;karat
KoreanJade;karat
Rosolite;karat
AgateJasper;karat
Chrysomelanite;karat
Kunzite;karat
Rubellite;karat
AkoyaPearl;karat
Chrysopal;karat
LagunaAgate;karat
Rubicelle;karat
AlabandineRuby;karat
Chrysoprase;karat
Lapis;karat
RubyCopper;karat
Alamandine;karat
Cinn;karat
LavenderJade;karat
RubyFuschite;karat
AlaskaBlackDiamond;karat
Citrine;karat
Lazurite;karat
RubyGarnet;karat
Alexandrine;karat
CitrineTopaz;karat
LemonOpal;karat
RubySpinel;karat
Alexandrite;karat
ClaroOpal;karat
LemonQuartz;karat
RubyZoisite;karat
AlexandriteGarnet;karat
Clinothulite;karat
LeopardJasper;karat
RussianJade;karat
AlexandriteSapphire;karat
ColombianEmerald;karat
Leuco-Garnet;karat
RussianJasper;karat
AlmandineSpinel;karat
ColoradoJade;karat
LightningRidgeOpal;karat
RutilatedQuartz;karat
Almandite;karat
ColoradoRuby;karat
LindeEmerald;karat
RutilatedTopaz;karat
Amatrix;karat
Color-ChangeGarnet;karat
LithiaEmerald;karat
RutileQuartz;karat
AmazonJade;karat
LondonBlueTopaz;karat
SageniteAgate;karat
AmazonStone;karat
CommonOpal;karat
LuxSapphire;karat
SaltwaterPearl;karat
Amazonstone;karat
CondorAgate;karat
LynxSapphire;karat
SapphireQuartz;karat
Amberoid;karat
CongoEmerald;karat
MabePearl;karat
SapphireSpinel;karat
AmericanRuby;karat
Copal;karat
MadeiraTopaz;karat
